time,u100,v100,u10n,u10,v10n,v10,fg10,i10fg
2017-01-01 00:00,7.51,6.9,4.33,4.38,4.28,4.33,13.08,12.23
2017-01-01 01:00,7.55,6.06,4.33,4.38,3.77,3.82,12.23,11.49
2017-01-01 02:00,8.06,5.28,4.69,4.74,3.37,3.4,11.49,10.84
2017-01-01 03:00,7.88,4.47,4.57,4.62,2.88,2.92,10.84,10
2017-01-01 04:00,7.15,2.69,4.13,4.19,1.74,1.77,10,8.18
2017-01-01 05:00,6.07,-0.03,3.29,3.4,0.16,0.15,8.18,6.2
2017-01-01 06:00,4.75,-2.3,2.4,2.53,-1.05,-1.12,6.2,5.11
2017-01-01 07:00,3.14,-3.49,1.33,1.49,-1.4,-1.6,5.31,4.25
2017-01-01 08:00,1.65,-3.47,0.48,0.64,-1.05,-1.44,4.25,2.75
2017-01-01 09:00,0.65,-2.8,0.1,0.26,-0.75,-1.54,2.97,2.29
2017-01-01 10:00,0,-2.2,-0.05,-0.02,-0.63,-1.48,2.4,2.26
2017-01-01 11:00,-0.54,-2.21,-0.27,-0.43,-0.73,-1.42,2.31,2.11
2017-01-01 12:00,-1.31,-1.47,-0.46,-1.06,-0.43,-1.03,2.11,1.95
2017-01-01 13:00,-2.05,-0.69,-0.67,-1.41,-0.35,-0.73,2.26,2.3
2017-01-01 14:00,-2.67,-0.17,-2.03,-1.89,-0.56,-0.53,3.39,3.53
2017-01-01 15:00,-2.85,0.55,-1.65,-1.47,-0.03,-0.03,3.7,3.78
2017-01-01 16:00,-1.79,1.69,-1.55,-1.39,1.31,1.17,4.29,4.45
2017-01-01 17:00,-0.51,2.95,-0.49,-0.44,2.46,2.24,5.18,5.31
2017-01-01 18:00,-0.44,2.39,-0.43,-0.37,2.1,1.85,5.43,5.02
2017-01-01 19:00,-1.64,1.64,-1.52,-1.34,1.39,1.23,5.28,5.12
2017-01-01 20:00,-2.41,1.61,-2.06,-1.9,1.25,1.15,5.38,5.4
2017-01-01 21:00,-3.38,1.72,-2.39,-2.38,1.09,1.09,5.48,5.17
2017-01-01 22:00,-3.88,1.5,-0.99,-1.64,0.18,0.3,5.17,3
2017-01-01 23:00,-4.76,1.5,-1.34,-2.05,0.03,0.04,3.48,3.55
2017-01-02 00:00,-6.09,0.33,-2.21,-2.63,-0.53,-0.63,4.54,4.8
2017-01-02 01:00,-6.42,0.83,-2.5,-2.84,-0.15,-0.17,5.54,5.62
2017-01-02 02:00,-6.74,0.7,-2.78,-3.06,-0.28,-0.3,5.81,5.63
2017-01-02 03:00,-6.79,-0.25,-2.94,-3.15,-0.67,-0.71,5.66,5.53
2017-01-02 04:00,-6.54,-0.31,-2.94,-3.11,-0.62,-0.66,5.9,5.89
2017-01-02 05:00,-6.3,0.17,-2.94,-3.09,-0.39,-0.41,6.07,5.94
2017-01-02 06:00,-6.14,-0.04,-2.93,-3.04,-0.59,-0.62,5.99,5.93
2017-01-02 07:00,-5.77,-0.24,-2.67,-2.79,-0.61,-0.63,5.73,5.27
2017-01-02 08:00,-5.29,0.44,-2.45,-2.57,-0.24,-0.26,5.27,4.66
2017-01-02 09:00,-4.62,1.05,-2.12,-2.26,-0.08,-0.08,4.66,4.1
2017-01-02 10:00,-3.05,1.63,-1.52,-1.61,0.01,0.01,4.1,3.65
2017-01-02 11:00,-2.1,1.33,-0.79,-0.97,-0.16,-0.2,3.65,3.25
2017-01-02 12:00,-2,1.21,-1.01,-1.15,-0.12,-0.13,3.25,2.54
2017-01-02 13:00,-1.89,1.41,-0.74,-0.96,0.06,0.08,2.57,2.54
2017-01-02 14:00,-1.82,0.86,-1.32,-1.29,-0.36,-0.36,3.04,3.15
2017-01-02 15:00,-2.53,0.52,-1.58,-1.48,-0.07,-0.07,3.31,3.22
2017-01-02 16:00,-1.24,1.27,-1.06,-0.96,0.91,0.82,3.38,3.29
2017-01-02 17:00,-0.63,1.49,-0.57,-0.51,1.22,1.08,3.29,2.78
2017-01-02 18:00,-0.91,0.82,-0.91,-0.79,0.61,0.53,3.29,3.38
2017-01-02 19:00,-2.15,0.7,-1.77,-1.66,0.45,0.42,3.94,4.26
2017-01-02 20:00,-3.16,1.81,-2.26,-2.23,1.24,1.23,5.24,5.3
2017-01-02 21:00,-3.56,2.23,-2.37,-2.4,1.44,1.46,5.3,4.72
2017-01-02 22:00,-3.94,1.99,-2.07,-2.19,0.43,0.45,4.75,4.64
2017-01-02 23:00,-4.83,2.58,-2.45,-2.57,0.91,0.95,5.04,5.14
2017-01-03 00:00,-4.79,3.44,-2.33,-2.46,1.37,1.45,5.41,5.42
2017-01-03 01:00,-5.15,4.46,-2.94,-3.03,1.74,1.8,5.44,5.39
2017-01-03 02:00,-5.8,4.21,-3.14,-3.23,1.82,1.87,5.74,5.82
2017-01-03 03:00,-5.42,5.07,-3.03,-3.13,2.13,2.2,6.13,6.22
2017-01-03 04:00,-5.46,4.93,-2.96,-3.07,2.12,2.2,6.67,6.76
2017-01-03 05:00,-4.83,5.41,-2.51,-2.63,2.47,2.59,6.78,6.6
2017-01-03 06:00,-3.99,5.53,-2.18,-2.26,2.74,2.84,6.59,6.38
2017-01-03 07:00,-3.4,5.37,-1.9,-1.98,2.6,2.71,6.94,6.48
2017-01-03 08:00,-3.29,5.25,-1.86,-1.94,2.49,2.59,6.48,5.76
2017-01-03 09:00,-3.23,5.37,-1.8,-1.88,2.46,2.57,5.76,5.57
2017-01-03 10:00,-1.79,4.29,-1.31,-1.44,1.45,1.59,5.68,5.63
