time,u100,v100,u10n,u10,v10n,v10,fg10,i10fg
2020-01-01 00:00,6.01,-1.55,2.89,3.03,-0.82,-0.86,7.04,7.08
2020-01-01 01:00,5.94,-3.07,2.97,3.09,-1.56,-1.63,7.43,7.36
2020-01-01 02:00,6.01,-3.57,3.1,3.21,-1.8,-1.87,7.81,7.9
2020-01-01 03:00,5.64,-4.14,2.76,2.89,-2.04,-2.13,8.47,8.43
2020-01-01 04:00,5.25,-3.91,2.49,2.63,-1.82,-1.93,8.47,8.37
2020-01-01 05:00,5.28,-3.53,2.59,2.72,-1.64,-1.72,8.38,7.98
2020-01-01 06:00,5.74,-3.11,2.97,3.08,-1.48,-1.54,7.98,7.7
2020-01-01 07:00,5.92,-2.86,3.09,3.19,-1.4,-1.45,7.61,7.54
2020-01-01 08:00,5.82,-2.39,3.08,3.17,-1.14,-1.18,7.62,7.31
2020-01-01 09:00,5.78,-2.09,3.05,3.15,-0.93,-0.96,7.31,6.86
2020-01-01 10:00,5.03,-2.59,2.56,2.7,-1.24,-1.3,6.88,6.59
2020-01-01 11:00,4.93,-2.46,2.17,2.37,-0.97,-1.06,6.59,6.39
2020-01-01 12:00,4.65,-1.52,1.66,2.02,-0.27,-0.3,6.39,6.15
2020-01-01 13:00,4.55,-0.4,1.52,1.85,0.28,0.37,6.16,6.27
2020-01-01 14:00,4.37,0.04,2.14,2.05,0.56,0.53,6.88,7.02
2020-01-01 15:00,4.18,-0.6,2.91,2.81,-0.33,-0.32,10.87,11.07
2020-01-01 16:00,6.31,-1.2,4.42,4.34,-0.9,-0.88,11.5,11.3
2020-01-01 17:00,6.65,-1.02,4.66,4.58,-0.74,-0.73,11.38,11.24
2020-01-01 18:00,6.36,-0.58,4.48,4.39,-0.4,-0.39,11.25,11.2
2020-01-01 19:00,6.44,-0.67,4.48,4.41,-0.47,-0.46,10.32,10.12
2020-01-01 20:00,6.53,-0.84,4.38,4.35,-0.56,-0.56,10.14,9.59
2020-01-01 21:00,5.52,-1.19,3.14,3.19,-0.66,-0.67,9.59,6.69
2020-01-01 22:00,4.86,-2.08,1.9,2.18,-0.78,-0.9,6.69,4.3
2020-01-01 23:00,4.67,-2.44,1.6,1.95,-0.75,-0.93,4.3,3.98
2020-01-02 00:00,4.82,-2.18,1.66,2.03,-0.54,-0.68,3.99,3.82
2020-01-02 01:00,4.73,-1.5,1.38,1.88,-0.19,-0.29,3.91,3.85
2020-01-02 02:00,4.56,-0.74,1.2,2.07,0.01,0.02,3.87,3.66
2020-01-02 03:00,4.25,-0.15,1.1,2.14,0.06,0.21,3.7,3.64
2020-01-02 04:00,4.13,0.32,1.08,2.19,0.07,0.28,3.72,3.5
2020-01-02 05:00,3.02,0.71,0.62,1.57,0.12,0.53,3.58,3.05
2020-01-02 06:00,2.62,1.8,0.42,1.13,0.44,1.15,3.14,2.54
2020-01-02 07:00,2.38,2.57,0.39,1.01,0.62,1.63,3.09,3.04
2020-01-02 08:00,2.29,2.9,0.31,0.83,0.68,1.94,3.3,3.23
2020-01-02 09:00,2.18,2.86,0.27,0.75,0.67,1.9,3.25,3.06
2020-01-02 10:00,0.45,1.99,-0.17,-0.6,0.27,1.01,3.09,2.87
2020-01-02 11:00,0.34,2.19,-0.11,-0.37,0.28,1.05,3.47,3.28
2020-01-02 12:00,-0.05,2.04,-0.23,-0.72,0.22,0.76,3.35,3.13
2020-01-02 13:00,-0.03,2.29,-0.28,-0.64,0.43,1.15,3.41,3.23
2020-01-02 14:00,0.51,3.27,-0.01,-0.01,1.66,1.53,4.63,4.82
2020-01-02 15:00,0.94,2.67,0.58,0.54,1.7,1.6,5.34,5.58
2020-01-02 16:00,0.96,2.77,0.62,0.58,1.98,1.87,6.56,6.74
2020-01-02 17:00,1.56,2.7,1.09,1.03,1.97,1.86,6.93,6.88
2020-01-02 18:00,1.49,2.64,1.1,1.03,1.93,1.83,6.93,6.89
2020-01-02 19:00,1,2.94,0.66,0.64,2.11,2.03,5.57,5.44
2020-01-02 20:00,0.83,3.62,0.52,0.51,2.35,2.32,5.44,4.36
2020-01-02 21:00,0.83,4.4,0,0,1.67,1.95,4.62,3.15
2020-01-02 22:00,0.39,4.93,-0.18,-0.27,1.6,2.34,4.13,4.46
2020-01-02 23:00,0.59,6.58,-0.45,-0.53,2.49,2.83,5.56,5.68
2020-01-03 00:00,2.82,7.01,1.12,1.22,2.85,3.08,6.19,6.33
2020-01-03 01:00,3.24,7.07,0.89,0.95,3.13,3.34,7.31,7.56
2020-01-03 02:00,3.44,7.37,1.25,1.32,3.38,3.54,8.02,7.86
2020-01-03 03:00,5.45,6.5,2.52,2.62,3.17,3.28,7.86,7.38
2020-01-03 04:00,4.2,6.37,1.56,1.63,3.13,3.28,7.57,7.58
2020-01-03 05:00,5.39,6.61,2.62,2.69,3.32,3.41,7.74,7.7
2020-01-03 06:00,4.25,6.16,1.82,1.9,3.06,3.18,7.71,7.52
2020-01-03 07:00,4.36,6.49,1.91,1.98,3.26,3.37,7.34,7.54
2020-01-03 08:00,3.48,7,1.48,1.52,3.59,3.68,8.17,8.16
2020-01-03 09:00,4.03,6.45,1.85,1.89,3.39,3.47,8.33,8.12
2020-01-03 10:00,2.77,3.92,0.53,0.58,1.95,2.1,8.37,8.04
2020-01-03 11:00,2.3,4.94,1.09,1.14,2.39,2.48,8.08,8.08
2020-01-03 12:00,2.5,4.67,0.79,0.82,2.36,2.47,8.27,8.27
2020-01-03 13:00,3.1,4.86,1.39,1.43,2.59,2.66,8.32,8.02
2020-01-03 14:00,3.96,3.48,1.77,1.84,1.87,1.94,8.07,7.99
2020-01-03 15:00,3.43,3.54,2.1,2.09,2.35,2.35,8.09,7.01
2020-01-03 16:00,3.47,2.85,2.35,2.31,1.97,1.93,8.55,8.09
2020-01-03 17:00,3.04,1.34,2.12,2.08,0.87,0.86,8.13,7.57
2020-01-03 18:00,2.89,2.04,2.11,2.03,1.4,1.35,8.04,6.82
2020-01-03 19:00,2.37,2.43,1.34,1.37,1.38,1.4,6.19,5.19
2020-01-03 20:00,2.05,2.4,0.58,0.7,0.91,1.07,5.19,3.6
2020-01-03 21:00,2.75,3.58,0.61,0.74,1.34,1.63,3.93,3.69
2020-01-03 22:00,1.71,2.48,0.34,0.6,0.67,1.45,3.69,2.53
2020-01-03 23:00,1.27,1.95,-0.41,-0.76,0.44,0.79,2.78,2.75
2020-01-04 00:00,-0.7,3.54,-0.84,-0.9,1.48,1.58,3.63,3.69
2020-01-04 01:00,1.17,3.99,0.26,0.32,1.2,1.56,4.07,4.04
2020-01-04 02:00,0.81,2.54,-0.52,-0.69,0.51,0.71,4.05,3.51
2020-01-04 03:00,-1.54,2.19,-1.12,-1.24,0.65,0.72,3.51,3.18
2020-01-04 04:00,-0.48,2.94,-0.52,-0.57,1.09,1.24,3.18,2.58
2020-01-04 05:00,0.21,3.39,-0.5,-0.54,1.25,1.44,3.19,3.32
2020-01-04 06:00,0.41,4.13,-0.34,-0.36,1.81,1.96,3.48,3.12
2020-01-04 07:00,1.66,5.56,0.32,0.33,2.74,2.85,5.14,5.38
2020-01-04 08:00,2.5,6.08,0.87,0.91,3.02,3.14,5.84,5.9
2020-01-04 09:00,2.94,6.4,1.01,1.05,3.21,3.34,6.25,6.37
2020-01-04 10:00,3.07,5.22,1.24,1.29,2.58,2.67,6.73,6.73
2020-01-04 11:00,4.48,5.21,2.35,2.38,2.9,2.94,6.8,6.42
2020-01-04 12:00,4.61,4.71,2.38,2.44,2.63,2.69,6.62,6.67
2020-01-04 13:00,5.12,3.46,2.64,2.74,1.7,1.77,6.99,6.94
2020-01-04 14:00,5.39,2.72,2.75,2.82,1.57,1.61,6.95,6.39
2020-01-04 15:00,5.18,2.04,2.38,2.51,1.03,1.1,6.5,6.5
2020-01-04 16:00,4.45,0.97,2.57,2.55,0.42,0.42,6.6,6.33
2020-01-04 17:00,3.6,0.09,2.45,2.38,0.11,0.11,7.03,6.98
2020-01-04 18:00,2.91,-0.61,1.98,1.94,-0.46,-0.45,7,6.88
2020-01-04 19:00,2.34,-2.11,1.33,1.34,-1.38,-1.38,4.94,4.18
2020-01-04 20:00,1.87,-3.58,1.01,1.08,-1.66,-1.77,4.63,5.28
2020-01-04 21:00,2.27,-5.52,1.3,1.39,-2.54,-2.71,6.67,6.64
2020-01-04 22:00,4.22,-6.99,2.26,2.31,-3.73,-3.82,9.03,9.62
2020-01-04 23:00,3.79,-7.29,2.1,2.15,-3.85,-3.94,10.78,9.97
2020-01-05 00:00,2.66,-5.88,1.21,1.26,-2.96,-3.07,10.11,8.85
2020-01-05 01:00,4.08,-6.06,2.14,2.21,-3.07,-3.17,9.63,9.86
2020-01-05 02:00,6,-6.31,3.52,3.59,-3.25,-3.31,10.88,11.08
2020-01-05 03:00,6.91,-6.69,4.07,4.14,-3.59,-3.64,11.86,12.07
2020-01-05 04:00,7.32,-7.08,4.31,4.36,-4.06,-4.1,12.4,12.39
2020-01-05 05:00,6.92,-7.11,4.12,4.16,-4.09,-4.13,12.39,12.23
2020-01-05 06:00,7.12,-6.77,4.35,4.38,-3.87,-3.9,12.28,12.33
2020-01-05 07:00,7.53,-6.9,4.56,4.59,-3.91,-3.94,13.74,13.79
2020-01-05 08:00,8.16,-7.45,4.95,4.98,-4.33,-4.35,14.36,14.48
2020-01-05 09:00,8.8,-7.89,5.38,5.4,-4.67,-4.69,15.31,15.48
