time,u100,v100,u10n,u10,v10n,v10,fg10,i10fg
2019-01-01 00:00,-6.53,4.01,-3.7,-3.76,1.84,1.88,9.3,9.24
2019-01-01 01:00,-5.42,4.75,-2.84,-2.94,2.08,2.16,9.25,7.99
2019-01-01 02:00,-3.7,5.02,-1.78,-1.93,1.91,2.07,8.09,8.02
2019-01-01 03:00,-1.43,6.27,-0.82,-0.89,2.55,2.75,15.15,10.69
2019-01-01 04:00,2,7.08,0.58,0.6,3.12,3.34,17.48,16.67
2019-01-01 05:00,4.37,7.57,2.08,2.14,4.07,4.21,19.98,19.97
2019-01-01 06:00,6.33,8.84,3.71,3.76,5.6,5.67,20.31,15.83
2019-01-01 07:00,8.04,9.68,5.03,5.07,6.33,6.39,15.97,15.82
2019-01-01 08:00,8.74,9.37,5.58,5.63,6.09,6.15,17.53,15.84
2019-01-01 09:00,9.62,7.59,6.19,6.26,4.99,5.05,15.84,15.72
2019-01-01 10:00,10.95,3.89,7.26,7.33,2.65,2.67,15.72,15.21
2019-01-01 11:00,11.18,2.74,7.14,7.23,1.93,1.96,16.45,15.74
2019-01-01 12:00,10.84,3.14,6.76,6.89,2.17,2.21,15.8,14.97
2019-01-01 13:00,10.82,2.3,6.52,6.66,1.6,1.63,14.99,14.71
2019-01-01 14:00,10.75,-0.31,6.54,6.65,-0.03,-0.03,15.59,15.93
2019-01-01 15:00,10.85,-3.46,6.88,6.9,-2.15,-2.16,16.77,16.65
2019-01-01 16:00,10.58,-5.05,6.79,6.78,-3.21,-3.21,16.67,16.21
2019-01-01 17:00,9.41,-5.88,6.28,6.26,-3.82,-3.8,16.67,16.12
2019-01-01 18:00,8.46,-6.2,5.79,5.75,-4.1,-4.08,16.16,15.16
2019-01-01 19:00,7.91,-6.08,5.35,5.33,-4.08,-4.06,14.58,13.83
2019-01-01 20:00,7.32,-6.5,4.87,4.86,-4.33,-4.32,13.83,12.68
2019-01-01 21:00,6.24,-6.67,4.02,4.02,-4.25,-4.26,12.75,11.3
2019-01-01 22:00,4.67,-5.47,2.72,2.77,-3.1,-3.15,11.4,10.36
2019-01-01 23:00,4.47,-5,2.64,2.68,-2.74,-2.79,10.36,9.03
2019-01-02 00:00,4.49,-4.36,2.6,2.66,-2.29,-2.34,9.03,7.7
2019-01-02 01:00,4.95,-3.89,2.76,2.85,-1.97,-2.03,7.71,7
2019-01-02 02:00,4.64,-3.62,2.6,2.68,-1.77,-1.82,7,5.92
2019-01-02 03:00,4.1,-2.78,2.09,2.22,-1.12,-1.19,5.92,4.23
2019-01-02 04:00,4.1,-2.22,1.84,2.04,-0.67,-0.74,4.23,3.2
2019-01-02 05:00,4.01,-2.55,1.6,1.87,-0.72,-0.85,3.21,3.03
2019-01-02 06:00,3.71,-3.21,1.52,1.75,-1.04,-1.2,3.08,3.06
2019-01-02 07:00,2.97,-3.8,1.26,1.44,-1.35,-1.55,4.05,3.7
2019-01-02 08:00,1.79,-4.28,0.76,0.88,-1.5,-1.76,3.73,3.42
2019-01-02 09:00,0.57,-4.26,0.35,0.4,-1.54,-1.79,3.42,3.07
2019-01-02 10:00,-0.11,-2.06,0.04,0.16,-0.42,-1.19,3.07,2.7
2019-01-02 11:00,-1.32,-1.97,-0.34,-0.82,-0.55,-1.38,2.7,2.56
2019-01-02 12:00,-2.78,-1.36,-0.85,-1.29,-0.38,-0.57,2.58,2.47
2019-01-02 13:00,-3.73,-0.4,-1.6,-1.86,-0.17,-0.19,2.53,2.48
2019-01-02 14:00,-4.2,0.02,-2.37,-2.3,-0.15,-0.14,3.68,3.96
2019-01-02 15:00,-2.87,0.17,-2.21,-2.07,0.18,0.17,4.86,4.94
2019-01-02 16:00,-2.52,0.64,-2.06,-1.91,0.51,0.47,5.17,5
2019-01-02 17:00,-2.44,0.66,-2.04,-1.88,0.53,0.49,5,4.5
2019-01-02 18:00,-1.89,1.5,-1.65,-1.51,1.19,1.09,4.5,4.34
2019-01-02 19:00,-1.58,1.96,-1.35,-1.26,1.55,1.45,4.97,4.89
2019-01-02 20:00,-1.84,2.86,-1.46,-1.41,2.1,2.03,5.27,5.37
2019-01-02 21:00,-2.17,3.96,-1.54,-1.54,2.63,2.62,5.69,5.56
2019-01-02 22:00,-2.15,2.86,-1.46,-1.47,1.77,1.78,5.59,4.99
2019-01-02 23:00,-3.26,3.33,-2.07,-2.09,2,2.01,5.9,6.17
2019-01-03 00:00,-3.91,3.25,-2.52,-2.54,1.87,1.88,7.16,7.33
2019-01-03 01:00,-3.48,4.08,-2.17,-2.18,2.37,2.39,7.59,7.55
2019-01-03 02:00,-3.69,4.22,-2.22,-2.23,2.51,2.52,7.55,6.96
