time,u100,v100,u10n,u10,v10n,v10,fg10,i10fg
2016-01-01 00:00,4.82,-0.56,3.1,3.09,-0.38,-0.38,7.4,7.09
2016-01-01 01:00,4.46,-0.49,2.87,2.86,-0.35,-0.35,7.49,7.49
2016-01-01 02:00,5.05,-0.25,3.21,3.2,-0.12,-0.12,7.57,7.32
2016-01-01 03:00,5.16,0.25,3.25,3.24,0.21,0.21,7.62,7.69
2016-01-01 04:00,5.66,0.69,3.58,3.57,0.49,0.48,8.16,8.24
2016-01-01 05:00,6.02,0.72,3.81,3.8,0.49,0.49,8.32,8.49
2016-01-01 06:00,6.1,0.48,3.87,3.86,0.34,0.34,8.74,8.75
2016-01-01 07:00,6.22,0.12,3.96,3.95,0.13,0.13,9.14,9.03
2016-01-01 08:00,6.26,0.14,4,3.98,0.13,0.13,9.07,8.79
2016-01-01 09:00,5.78,0.74,3.68,3.67,0.56,0.56,8.82,8.47
2016-01-01 10:00,5.91,1.9,3.85,3.83,1.27,1.27,8.58,8.71
2016-01-01 11:00,6.48,2.36,4.16,4.15,1.58,1.57,9.49,9.64
2016-01-01 12:00,7,2.21,4.47,4.45,1.46,1.45,10.09,10.23
2016-01-01 13:00,7.72,2.06,4.89,4.88,1.36,1.36,10.63,10.89
2016-01-01 14:00,8.54,2.01,5.41,5.4,1.35,1.35,11.94,12.2
2016-01-01 15:00,9.31,1.67,5.92,5.91,1.11,1.11,13.22,13.39
2016-01-01 16:00,9.25,1.23,5.91,5.9,0.85,0.84,13.79,13.82
2016-01-01 17:00,8.5,1.15,5.49,5.47,0.83,0.82,13.99,13.72
2016-01-01 18:00,8.29,1.23,5.44,5.41,0.86,0.85,13.72,13.12
2016-01-01 19:00,8.07,1.35,5.25,5.23,0.92,0.92,12.96,12.57
2016-01-01 20:00,8.14,1.22,5.26,5.24,0.84,0.83,12.57,12.29
2016-01-01 21:00,8.41,1.01,5.32,5.31,0.67,0.67,12.29,12
2016-01-01 22:00,6.3,0.83,3.7,3.7,0.59,0.59,12.08,10.49
2016-01-01 23:00,6.41,0.67,3.74,3.74,0.41,0.41,10.49,9.68
2016-01-02 00:00,7.19,0.07,4.29,4.29,0.06,0.06,9.9,9.86
2016-01-02 01:00,7.05,-0.22,4.28,4.28,-0.08,-0.08,9.95,9.57
2016-01-02 02:00,7.17,-0.12,4.45,4.45,-0.07,-0.07,10.29,10.22
2016-01-02 03:00,7.51,-0.46,4.76,4.75,-0.31,-0.31,10.22,9.7
2016-01-02 04:00,6.93,-0.77,4.43,4.42,-0.52,-0.52,10.01,9.68
2016-01-02 05:00,6.57,-0.64,4.23,4.22,-0.41,-0.41,9.71,9.55
2016-01-02 06:00,6.1,-0.29,3.92,3.91,-0.19,-0.18,9.55,9.01
2016-01-02 07:00,5.87,0.32,3.77,3.76,0.22,0.22,9.13,8.66
2016-01-02 08:00,6.04,0.79,3.84,3.84,0.51,0.51,8.77,8.53
2016-01-02 09:00,5.02,1.72,3.03,3.03,1.15,1.14,8.53,7.16
2016-01-02 10:00,3.34,1.48,2.13,2.13,0.96,0.96,7.23,7.12
2016-01-02 11:00,3.63,2.78,2.16,2.17,1.8,1.8,7.17,6.83
2016-01-02 12:00,3.98,3.65,2.26,2.26,2.33,2.33,7.8,7.78
2016-01-02 13:00,4.55,3.73,2.61,2.61,2.29,2.29,8.11,7.6
2016-01-02 14:00,5.86,4.05,3.81,3.8,2.57,2.57,9.79,10.15
2016-01-02 15:00,6.39,3.35,4.13,4.11,2.29,2.28,11.92,11.76
2016-01-02 16:00,6.87,2.81,4.5,4.47,1.93,1.91,12.2,12.21
