time,u100,v100,u10n,u10,v10n,v10,fg10,i10fg
2021-01-01 00:00,-4.75,-7.04,-2.74,-2.74,-4.32,-4.31,10.91,10.72
2021-01-01 01:00,-3.59,-7,-2.09,-2.09,-4.27,-4.26,10.76,9.51
2021-01-01 02:00,-3.71,-5.49,-2.23,-2.23,-3.31,-3.31,9.51,7.93
2021-01-01 03:00,-3.72,-4.7,-2.05,-2.06,-2.8,-2.81,7.93,6.58
2021-01-01 04:00,-2.89,-5.43,-1.6,-1.6,-3.24,-3.26,6.68,6.29
2021-01-01 05:00,-2.83,-5.3,-1.59,-1.59,-3.11,-3.11,7.23,7.44
2021-01-01 06:00,-2.89,-4.31,-1.69,-1.69,-2.68,-2.68,7.93,7.74
2021-01-01 07:00,-3.1,-4.37,-1.79,-1.79,-2.8,-2.8,7.76,7.87
2021-01-01 08:00,-3.47,-4.87,-1.92,-1.93,-2.89,-2.91,8.27,8.09
2021-01-01 09:00,-3.33,-4.21,-1.87,-1.88,-2.5,-2.52,8.09,6.86
2021-01-01 10:00,-3.81,-3.89,-2.51,-2.5,-2.51,-2.5,6.88,6.76
2021-01-01 11:00,-3.11,-3.87,-1.88,-1.88,-2.5,-2.5,6.86,6.76
2021-01-01 12:00,-2.45,-3.12,-1.28,-1.31,-1.87,-1.91,6.76,5.83
2021-01-01 13:00,-3.4,-3.52,-1.65,-1.68,-2.02,-2.05,5.83,5.46
2021-01-01 14:00,-3.14,-2.84,-1.84,-1.86,-1.79,-1.81,5.48,5.35
2021-01-01 15:00,-3.73,-2.99,-1.99,-2,-1.91,-1.93,5.91,6.01
2021-01-01 16:00,-3.12,-2.98,-1.35,-1.36,-1.87,-1.88,6.74,6.87
2021-01-01 17:00,-3.91,-3.04,-2.41,-2.4,-2.07,-2.06,7.08,5.16
2021-01-01 18:00,-3.15,-2.19,-2.03,-2.02,-1.54,-1.52,6.49,6.19
2021-01-01 19:00,-2.26,-2.09,-1.36,-1.35,-1.48,-1.47,5.41,5.91
2021-01-01 20:00,-2.87,-2.04,-1.59,-1.58,-1.48,-1.47,7.63,7.61
2021-01-01 21:00,-2.5,-2.04,-1.01,-0.99,-1.52,-1.5,7.63,3.74
2021-01-01 22:00,-3.23,-3.04,-0.91,-0.9,-1.93,-1.9,4.12,4.07
2021-01-01 23:00,-0.83,-2.6,0.46,0.45,-1.71,-1.68,5.9,3.94
2021-01-02 00:00,1.91,-3.6,1.42,1.42,-2.03,-2.01,9.42,9.56
