time,Hydro,Other Renewables,Solar,Wind
2016-01-01 00:00,682.9,644.5,0,2263.5
2016-01-01 01:00,641.2,619.6,0,2366.4
2016-01-01 02:00,622.5,629.2,0,2543.3
2016-01-01 03:00,520.1,607.1,0,2244.9
2016-01-01 04:00,572.8,645.1,0,2287.8
2016-01-01 05:00,623.8,642.5,0,2549.3
2016-01-01 06:00,650.5,637.5,0,2498.7
2016-01-01 07:00,720.7,637,0,2472.1
2016-01-01 08:00,745.3,621.3,0,2452.9
2016-01-01 09:00,758.3,635.2,5.6,2715.7
2016-01-01 10:00,755,631.4,9.5,2532.9
2016-01-01 11:00,716.1,609.6,10,2992
2016-01-01 12:00,684.5,622.4,7.9,2982.4
2016-01-01 13:00,640.5,622.9,7.2,2928.7
2016-01-01 14:00,640.1,616.6,5.4,2871.5
2016-01-01 15:00,625.7,621.7,0,2951.1
2016-01-01 16:00,662.5,620.8,0,2858.8
2016-01-01 17:00,1513.6,616,0,2909.6
2016-01-01 18:00,1601.6,619.6,0,2824.7
2016-01-01 19:00,1318.5,621.6,0,2818.4
2016-01-01 20:00,1028,621.8,0,3091.7
2016-01-01 21:00,835.8,602.2,0,3202.7
2016-01-01 22:00,670,606.1,0,3321
2016-01-01 23:00,662.1,622.7,0,3317.4
2016-01-02 00:00,602.6,604.7,0,3307.3
2016-01-02 01:00,598.6,576.8,0,3292.3
2016-01-02 02:00,601.7,570.8,0,3179.8
2016-01-02 03:00,642.8,551.6,0,2794.6
2016-01-02 04:00,585.1,553.9,0,2438.8
2016-01-02 05:00,638.1,564.2,0,2095.7
2016-01-02 06:00,602.6,568.3,0,1977.7
2016-01-02 07:00,591.1,560.4,0,1727.6
2016-01-02 08:00,699.2,565.6,8.8,1440.5
2016-01-02 09:00,648.3,565.1,28.9,1256.7
2016-01-02 10:00,639.1,550.3,46.6,1371.9
2016-01-02 11:00,689.3,546.2,55.1,1572.4
2016-01-02 12:00,637.3,550.3,57.3,1681.1
2016-01-02 13:00,615.3,553.9,53.2,2050.9
2016-01-02 14:00,650.6,552.6,44.8,2099.1
2016-01-02 15:00,646.4,551.4,18.1,2207.5
2016-01-02 16:00,652.7,560.9,0,2157.8
2016-01-02 17:00,1525.7,569.4,0,2389.6
2016-01-02 18:00,1245.7,578.2,0,2988.6
2016-01-02 19:00,944.9,586.8,0,3504.2
2016-01-02 20:00,959.6,572.9,0,3956.4
2016-01-02 21:00,750.4,569.7,0,4038.2
2016-01-02 22:00,576.7,556,0,3924.2
2016-01-02 23:00,595.1,568.2,0,3839.3
2016-01-03 00:00,679.5,565,0,3889.8
2016-01-03 01:00,612.7,557.9,0,3651.1
2016-01-03 02:00,617.1,574.6,0,3451.1
2016-01-03 03:00,641.8,565.6,0,3366.2
2016-01-03 04:00,654.3,570.7,0,3059
2016-01-03 05:00,656.8,584.3,0,2549.6
2016-01-03 06:00,596.6,553.9,0,2322
2016-01-03 07:00,586.1,549.1,0,2139.2
2016-01-03 08:00,608.1,552.7,6.9,2055.2
2016-01-03 09:00,694.8,542.6,31.5,1623.3
2016-01-03 10:00,657.1,558.8,47.8,1669.7
2016-01-03 11:00,700.6,554,53.7,1553.9
2016-01-03 12:00,670.2,529,52.9,1672.7
2016-01-03 13:00,652.6,543.8,46.1,1841.2
2016-01-03 14:00,616.6,551.6,31.3,1733.4
2016-01-03 15:00,616,574.3,18.1,1892.7
2016-01-03 16:00,660.2,566.4,0,1872
2016-01-03 17:00,1765.2,574.7,0,1749.8
2016-01-03 18:00,1689.5,584.2,0,1538.2
2016-01-03 19:00,1304.1,591.8,0,1470.3
2016-01-03 20:00,854,589.4,0,1615.9
2016-01-03 21:00,638.1,602.1,0,1571.1
2016-01-03 22:00,584.5,580.9,0,1619.5
2016-01-03 23:00,649.4,582.6,0,1570.8
2016-01-04 00:00,603.5,580.4,0,1629.4
2016-01-04 01:00,479.3,590.2,0,1507.7
2016-01-04 02:00,507.4,584.5,0,1551.9
2016-01-04 03:00,526.7,572.1,0,1941
2016-01-04 04:00,488.2,599.3,0,2253.5
2016-01-04 05:00,509.5,617.4,0,2369.1
2016-01-04 06:00,624.2,630.1,0,2102.1
2016-01-04 07:00,1725.8,627.8,0,2047.2
2016-01-04 08:00,1230.7,608.9,4.7,1856.3
2016-01-04 09:00,1144.5,606.3,29,1652.4
2016-01-04 10:00,656,604.3,54.3,1829
2016-01-04 11:00,586.2,605.1,56.1,2011.4
2016-01-04 12:00,663.8,621.9,56.6,1850.4
2016-01-04 13:00,545.6,620.2,52.5,2221.3
2016-01-04 14:00,547.2,616.1,39,1911.2
2016-01-04 15:00,638.4,621.8,15.6,2088.1
2016-01-04 16:00,598.3,625.5,0,1968
2016-01-04 17:00,1141.9,631.7,0,1841.6
2016-01-04 18:00,2021.6,633.2,0,1716.5
2016-01-04 19:00,1959.1,631.9,0,1590.2
2016-01-04 20:00,1451.4,628.6,0,1479.1
2016-01-04 21:00,959.7,623.9,0,1409.2
2016-01-04 22:00,594.7,627,0,1229.7
2016-01-04 23:00,583.4,622.7,0,1355.7
2016-01-05 00:00,436.5,627.7,0,1444.9
2016-01-05 01:00,534.8,616.2,0,1509.6
2016-01-05 02:00,403.9,616.5,0,1699.8
2016-01-05 03:00,455.2,608.7,0,1372.8
2016-01-05 04:00,292.3,616.7,0,1349.7
2016-01-05 05:00,819.7,622.2,0,1034.4
2016-01-05 06:00,1534.2,621.6,0,1087.8
2016-01-05 07:00,1931.7,634.8,0,1274.2
2016-01-05 08:00,1393.3,634.9,10,1368.8
2016-01-05 09:00,710.7,644.9,33.3,1268.1
2016-01-05 10:00,628,577.7,58.3,1058.5
2016-01-05 11:00,605.7,594.8,63.7,907.1
2016-01-05 12:00,410.1,600.1,63.5,901
2016-01-05 13:00,542.9,635.1,59.6,975.4
2016-01-05 14:00,412.7,571.6,51.7,844.9
2016-01-05 15:00,667,644.1,24.2,678.9
2016-01-05 16:00,554.9,654.3,5.3,688
2016-01-05 17:00,1477.2,649.9,5.4,527
2016-01-05 18:00,1467.5,660.6,5.4,904.6
2016-01-05 19:00,1343.2,652.9,5.3,1336
2016-01-05 20:00,978.9,649,5.3,1810
2016-01-05 21:00,560.8,634.9,5.4,2207.3
2016-01-05 22:00,617.3,645.6,5.4,2368.2
2016-01-05 23:00,539.6,652.1,5.6,2203.8
2016-01-06 00:00,462.4,657.7,5.6,2269
2016-01-06 01:00,333.8,655.1,5.4,2516.4
2016-01-06 02:00,286.9,657.3,5.6,2317.1
2016-01-06 03:00,284.9,648.7,5.6,2389
2016-01-06 04:00,393.4,633.5,5.6,2134.3
2016-01-06 05:00,433.1,658.3,5.5,1947.9
2016-01-06 06:00,1868.5,616.1,5.5,1915.4
2016-01-06 07:00,1975.9,598.9,5.5,1866.3
2016-01-06 08:00,1306.2,604.6,13.5,1862.4
2016-01-06 09:00,1008.4,532.9,29.2,1416.2
2016-01-06 10:00,621.9,543.7,46.1,983.9
2016-01-06 11:00,422.1,639.4,58.6,781.2
2016-01-06 12:00,340.3,670.3,56.8,707.8
2016-01-06 13:00,319.1,661.4,53.9,718.3
2016-01-06 14:00,321.7,671.3,42.5,695.8
2016-01-06 15:00,426.4,670.6,18.5,542.7
2016-01-06 16:00,517.8,673.1,0,630
2016-01-06 17:00,1154.7,686.5,0,810.7
2016-01-06 18:00,1027,670.4,0,1061.1
2016-01-06 19:00,937.3,667,0,1266.1
2016-01-06 20:00,884.1,654.6,0,1689.1
2016-01-06 21:00,534.8,665.4,0,2025.3
2016-01-06 22:00,615.2,660.9,0,2042.4
2016-01-06 23:00,365.4,660.8,0,1868.7
2016-01-07 00:00,309.6,663.8,0,1630.9
2016-01-07 01:00,262.9,658.5,0,1485.2
2016-01-07 02:00,291.7,641.8,0,1093.7
2016-01-07 03:00,261.3,651.6,0,908.3
2016-01-07 04:00,202.9,631.5,0,788
2016-01-07 05:00,246.5,645.7,0,573.9
2016-01-07 06:00,1491.3,624.6,0,495.6
2016-01-07 07:00,1949.2,622.7,0,577.8
2016-01-07 08:00,1245.4,626.2,1.1,596.7
2016-01-07 09:00,642.2,636.3,19.3,616
2016-01-07 10:00,401.5,647.9,26.2,352.9
2016-01-07 11:00,319.5,635.7,27.2,269.5
2016-01-07 12:00,305.6,630.7,27.1,347.1
2016-01-07 13:00,310.6,624.1,22.5,431.9
2016-01-07 14:00,277.9,618.4,19.8,544
2016-01-07 15:00,385,608.5,1.3,524.8
2016-01-07 16:00,386.4,610.6,0,699.7
2016-01-07 17:00,1235.8,603.9,0,1181.2
2016-01-07 18:00,1279.4,619.5,0,1382.9
2016-01-07 19:00,1223.7,602.7,0,1520.1
2016-01-07 20:00,691.2,635.4,0,1637.7
2016-01-07 21:00,453.1,605,0,1724.3
2016-01-07 22:00,439,603,0,1614.3
2016-01-07 23:00,226.7,594.7,0,1861.2
2016-01-08 00:00,252.9,579,0,1953.2
2016-01-08 01:00,279.5,557.9,0,1739.5
2016-01-08 02:00,231.7,580.7,0,1594.4
2016-01-08 03:00,230.6,576.8,0,1184.1
2016-01-08 04:00,178.1,572.5,0,1246.8
2016-01-08 05:00,182.9,565.3,0,1489.5
2016-01-08 06:00,1151.4,549.9,0,1802.5
2016-01-08 07:00,1520.1,549.3,0,2080.6
2016-01-08 08:00,944.3,559.3,0,1995.5
2016-01-08 09:00,415.9,541.5,4,1927.9
2016-01-08 10:00,405.9,537.5,11.2,1749.6
2016-01-08 11:00,334.8,550.6,14.1,1591.8
2016-01-08 12:00,402.8,529.6,14.2,1325.5
2016-01-08 13:00,308.9,539.1,11.9,1216.2
2016-01-08 14:00,312.4,530.2,9.7,1186.3
2016-01-08 15:00,295.9,568.8,0,1271.7
2016-01-08 16:00,481.2,572.1,0,1306.6
2016-01-08 17:00,1089.4,575.8,0,1766
2016-01-08 18:00,1247.4,576,0,1926.6
2016-01-08 19:00,768.2,589.1,0,1906.1
2016-01-08 20:00,525,580.1,0,2110.4
2016-01-08 21:00,384.6,586.1,0,2196.1
2016-01-08 22:00,522.9,591.5,0,2275.1
2016-01-08 23:00,389.1,582.1,0,2439.4
2016-01-09 00:00,310.1,609.6,0,2262.5
2016-01-09 01:00,191.4,615.9,0,1940.4
2016-01-09 02:00,175.6,607.4,0,1613.7
2016-01-09 03:00,166.8,605.7,0,1864.2
2016-01-09 04:00,181.9,610.5,0,1837.9
2016-01-09 05:00,191,594.7,0,1534.8
2016-01-09 06:00,385.9,605.7,0,1197.3
2016-01-09 07:00,370.1,603.5,0,877.6
2016-01-09 08:00,394.1,604.6,1.6,796.1
2016-01-09 09:00,434.8,589,3.3,692
2016-01-09 10:00,582.3,573.8,5.5,533.5
2016-01-09 11:00,590.4,576.4,13.7,570.9
2016-01-09 12:00,344.4,583.5,22.3,563.7
2016-01-09 13:00,395.5,588.4,7.9,648.1
2016-01-09 14:00,492,583.7,8.6,846.7
2016-01-09 15:00,437,582.9,1,1382.1
2016-01-09 16:00,396.2,572.9,0,1941.3
2016-01-09 17:00,589.3,592.5,0,2309.5
2016-01-09 18:00,758.5,591.8,0,3267.6
2016-01-09 19:00,806.8,604.2,0,3805.3
2016-01-09 20:00,492.6,588.2,0,4031.1
2016-01-09 21:00,391.5,575.3,0,3845.8
2016-01-09 22:00,408.1,570.1,0,3693.7
2016-01-09 23:00,200.2,561.5,0,3461.6
2016-01-10 00:00,298.3,534.2,0,3797.6
2016-01-10 01:00,236.5,531.6,0,3841.3
2016-01-10 02:00,236.5,531.6,0,3841.3
2016-01-10 03:00,241.9,528.5,0,4077.2
2016-01-10 04:00,298.3,542,0,4212.9
2016-01-10 05:00,277.3,545,0,4188.1
2016-01-10 06:00,286.8,512.9,0,4164.1
2016-01-10 07:00,341.6,524.7,0,4119.7
2016-01-10 08:00,341.3,521.8,0,4277
2016-01-10 09:00,357.2,499.4,3.1,4338.9
2016-01-10 10:00,414.8,505.4,0,4298.8
2016-01-10 11:00,436.9,532.6,4.3,4254.3
2016-01-10 12:00,414.3,538,28.4,4326.1
2016-01-10 13:00,378.4,543.3,20.2,4164.9
2016-01-10 14:00,635,519.6,19.3,3839.6
2016-01-10 15:00,512.4,515.1,15.2,3711.4
2016-01-10 16:00,466.3,511.3,0,3668.5
2016-01-10 17:00,705.7,520.4,0,3840.4
2016-01-10 18:00,1236.1,536.2,0,3740.6
2016-01-10 19:00,1407.8,538.1,0,3846.6
2016-01-10 20:00,818.9,535.3,0,3809.4
2016-01-10 21:00,484.3,546.7,0,3836.3
2016-01-10 22:00,598.3,527.6,0,3790.9
2016-01-10 23:00,609.3,542.1,0,3567.6
2016-01-11 00:00,458,527.8,0,3090.5
2016-01-11 01:00,557.3,531,0,2913.5
2016-01-11 02:00,511.7,537.3,0,2631.7
2016-01-11 03:00,532.9,521.1,0,2228.6
2016-01-11 04:00,634.9,528.8,0,1839.3
2016-01-11 05:00,677.6,555.5,0,1526.7
2016-01-11 06:00,1387.5,552.3,0,1398.1
2016-01-11 07:00,1813.6,559.5,0,1348.5
2016-01-11 08:00,1003.8,531.2,10.7,1366.1
2016-01-11 09:00,637.4,545.7,36.1,1392.3
2016-01-11 10:00,515.3,551.4,52.7,1600.5
2016-01-11 11:00,618.6,521.2,57.9,1557.9
2016-01-11 12:00,623.2,549.4,59.4,1702.7
2016-01-11 13:00,686.4,553.9,56.2,1853.4
2016-01-11 14:00,702.8,555.3,46,1961.1
2016-01-11 15:00,705.1,578.9,19,1926.3
2016-01-11 16:00,728.4,578.6,1,1890.1
2016-01-11 17:00,1569.5,559.5,0,1924.1
2016-01-11 18:00,1379.9,570,0,2190.1
2016-01-11 19:00,1318.1,567.7,0,2118.4
2016-01-11 20:00,1141.2,584,0,2401.5
2016-01-11 21:00,690,608.4,0,2697.8
2016-01-11 22:00,688.9,611.2,0,3032.1
2016-01-11 23:00,687.9,605.8,0,3624.9
2016-01-12 00:00,665.1,620.7,0,3588.6
2016-01-12 01:00,661.2,614.6,0,3520.6
2016-01-12 02:00,669,616.7,0,3667.1
2016-01-12 03:00,669.2,605.8,0,3247.3
2016-01-12 04:00,650.7,600,0,3074.9
2016-01-12 05:00,680.5,628,0,2652.6
2016-01-12 06:00,822,622.3,0,3332.7
2016-01-12 07:00,1149.6,628.2,0,3175.6
2016-01-12 08:00,866.3,621.4,3.9,3452.8
2016-01-12 09:00,987.2,603.8,14.9,3741.9
2016-01-12 10:00,669.3,607.7,22.5,3962
2016-01-12 11:00,701.8,633,26.1,4375.5
2016-01-12 12:00,703.2,628.9,14.9,4454.9
2016-01-12 13:00,669.3,636.4,7.5,4175.1
2016-01-12 14:00,712.6,620,1.7,3932.2
2016-01-12 15:00,709.2,610.4,3.7,4199.2
2016-01-12 16:00,703.3,593.8,1.1,4065.5
2016-01-12 17:00,1137.6,601,0,3761.2
2016-01-12 18:00,1246,592.3,0,3521
2016-01-12 19:00,1175.8,599.3,0,3859.2
2016-01-12 20:00,836.6,582.4,0,3815.2
